DATE,GNPC96
2013-04-01,16690.838
2013-07-01,16831.352
2013-10-01,16943.438
2014-01-01,16884.786
2014-04-01,17088.883
2014-07-01,17307.29
2014-10-01,17355.902
2015-01-01,17496.064
2015-04-01,17585.147
2015-07-01,17642.118
2015-10-01,17686.618
2016-01-01,17772.864
2016-04-01,17825.865
2016-07-01,17934.788
2016-10-01,18074.06
2017-01-01,18154.451
2017-04-01,18243.31
2017-07-01,18411.443
2017-10-01,18609.133
2018-01-01,18726.828
2018-04-01,18864.135
2018-07-01,18925.971
2018-10-01,18981.394
2019-01-01,19061.54
2019-04-01,19230.25
2019-07-01,19359.736
2019-10-01,19436.155
2020-01-01,19166.085
2020-04-01,17412.69
2020-07-01,18762.483
2020-10-01,18987.923
2021-01-01,19262.095
2021-04-01,19568.078
